CITIZENSHIP	GENDER	Race	DEGREE	INST1	INST1_MAJOR	O_INST1_GPA	O_GRE_V	O_GRE_Q	O_TOEFL_SCORE	PERM_CITY	PERM_STATE	PERM_ZIP
US	F	W	Dcal	UivesiyfAlama	Psychlgy	3.1	390	460	0	Mgmey	AL	36111
US	F	W	Dcal	FlidaSaeUivesiy	Psychlgy	0	420	590	0	OagePak	FL	32065
US	F	B	Dcal	SaDiegSaeUivesiy	DevelpmealPsychlgy	3.7	470	650	0	Tusi	CA	92780
US	F	W	Dcal	NichllsSaeUivesiy	Psychlgy	4	510	550	0	Thibdaux	LA	70301
US	F	W	Dcal	RsevelUivesiy	CliicalPsychlgy	4	570	520	0	Racie	WI	53406
US	F	W	Dcal	LuisiaaSaeUivesiy	Psychlgy	0	550	620	0	BaRuge	LA	70810
US	F	W	Dcal	UivesiyfFlida	Psychlgy	3.2	560	590	0	Gaiesville	FL	32608
US	F	W	Dcal	CealMichigaUivesiy	Psychlgy	3.9	520	640	0	Shephed	MI	48883
US	F	W	Dcal	MiddleTeesseeSaeUivesiy	CliicalPsychlgy	3.9	530	570	0	Mufeesb	TN	37128
US	F	W	Dcal	SuheaseLuisiaaUivesiy	Geeal/eimealPsychlgy	3.9	450	520	0	Reseve	LA	70084
US	M	W	Dcal	UivesiyfTN@Chaaga	Psychlgy	3.4	380	450	0	Chaaag	TN	37415
US	M	W	Dcal	MashallUivesiy	I/OPsychlgy	3.7	520	450	0	Huig	WV	25704
US	F	W	Dcal	MississippiSaeUivesiy	CliicalPsychlgy	3.8	430	620	0	Kigsp	TN	37663
US	M	W	Dcal	UievesiyfAlama	Psychlgy	0	430	630	0	MuscleShals	AL	35661
US	M	W	Dcal	XavieUivesiy	PeMed	3.4	520	730	0	Maieville	OH	45039
US	F	N	Dcal	UivesiyfNda,Re	Psychlgy&EglishLieaue(DlMaj)	3.9	620	640	0	Re	NV	89503
US	F	W	Dcal	FlidaSaeUivesiy	PsychlgyadReligi	3.9	570	680	0	OmdBeach	FL	32176
US	F	W	Dcal	MiddleTeesseeSaeUivesiy	Psychlgy,Pegadecceai	3.9	530	620	0	Mufeesb	TN	37130
US	M	W	Dcal	UWEauClaie	PsychlgyadOgaizaialCmmuicais	2.9	410	550	0	EauClaie	WI	54703
US	F	W	Dcal	MillesvilleUivesiy	Psychlgy	3.7	550	590	0	Lacase	PA	17603
US	F	W	Dcal	WashigUivesiy	Bilgy	3.9	570	740	0	CwPi	IN	46307
US	F	W	Dcal	RakeCllege	Psychlgy/Mahemaics	3.5	550	570	0	VillaRica	GA	30180
US	F	W	Dcal	SuhwesMissuiSaeUivesiy	Psychlgy	3.7	600	550	0	Jacks	MO	63755
US	M	B	Dcal	FlidaA&MUivesiy	BusiessAdmiisai	2.3	520	580	0	Maiea	GA	30067
US	M	W	Dcal	SuheIlliisUivesiyaCabdale	Psychlgy	3.1	680	690	0	Aa	IL	62906
US	F	B	Dcal	XavieUivesiyfLuisiaa	Psychlgy	0	460	590	0	NewOleas	LA	70126
US	F	H	Dcal	FlidaIeaialUivesiy	Psychlgy	3.6	510	610	0	Hialeah	FL	33013
US	F	W	Dcal	MeedihCllege	Psychlgy	3.5	480	620	0	Ede	NC	27288
US	M	W	Dcal	UivesiyfSuhFlida	Psychlgy	3.8	480	610	0	Tampa	FL	33624
US	F	N	Dcal	TheGegeWashigUivesiy	Psychlgy	3	470	460	0	Alaa	GA	30350
US	F	W	Dcal	UivesiyfOeg	Psychlgy	3.6	550	740	0	Eugee	OR	97408
US	M	W	Dcal	BuckellUivesiy	Psychlgy	3.4	560	620	0	Haisbug	PA	17112
